Name,Review,UpVotes,Rating,Date
,,,,
Fernando Leonardo,"After this last update, i can't acess my account after uninstall the classroom. But, before uninstallation appeared a message saying "" you can't join this class"", but i was already joined in that class, so fix it because i can't acess my account using the app.",163,Rated 1 stars out of five stars,24-Feb-20
,,,,
Ellie Tan,"After update on Feb 24 2020, app has become usable! Classes are disappearing from the app but are still there when viewed in computer browser. A fish logo also appeared, indicating beta mode?",358,Rated 2 stars out of five stars,23-Feb-20
,,,,
Sum Nub,"My school uses it in a ton of classes, and I can see why, it's a good app. But a couple days ago, I used this app to send in pictures of my finished homework, and instead I got kicked out of the classroom. I checked my other classes and couldn't access those either. But in addition to not being able...
Full Review",81,Rated 1 stars out of five stars,28-Feb-20
,,,,
Its just Aubree!!,I love google classroom Ive been using it for a good while and it works perfectly and my teachers also use it all day every day.If you dont have google classroom you really do need it. it also helps you keep up with your work!!,227,Rated 5 stars out of five stars,29-Feb-20
,,,,
Martin Hotchkiss,The app is no longer working. It seems that the "dogfood" version (i.e. the developer's test version) has been incorrectly deployed to the public. Please fix ASAP.,479,Rated 5 stars out of five stars,24-Feb-20
,,,,
Bonnie Parris,What is going on??? I just tried to go into one of my classes but it didnt let me and upon reinstalling I cant add my school account anymore. I've even seen other people talking about this. THIS NEEDS TO BE FIXED ASAP,478,Rated 1 stars out of five stars,24-Feb-20
,,,,
Avation,Was a fantastic app until the latest update. Now I've been unenrolled from most of my classes. After reinstalling the app I can't even sign in to the app!!,292,Rated 1 stars out of five stars,24-Feb-20
,,,,
Isabella Kroon,"After the most recent update, I was kicked out of one of my classes and am unable to rejoin. I tried uninstalling and reinstalling the app, and now I am unable to sign in at all.",284,Rated 1 stars out of five stars,25-Feb-20
,,,,
Sock Oon Lee,"Please fix the problem. After I update my apps yesterday, it show I been remove from the classes. After I reintsall, I am unable to log in to classroom. Please fix it!!!",298,Rated 1 stars out of five stars,23-Feb-20
,,,,
Bakurally Yusrah,Everything was good until the last update I was removed from the classes. I uninstalled the app. Then I downloaded it again and now it says that I can't even log in.,243,Rated 1 stars out of five stars,24-Feb-20
,,,,
Lee Lark,"As of the last update, I can't enter my classroom and I was kicked from all of my classes meaning I can't turn any of my work in the weekend. I will get zeros on them because of this. Please fix this issue quickly.",253,Rated 1 stars out of five stars,24-Feb-20
,,,,
Shreeram Patkar,"New update bug As many other people have mentioned, the new update with the beta(fish) icon is still not working. Please fix it asap",311,Rated 1 stars out of five stars,27-Feb-20
,,,,
Saaniya Khan,I am unable to access my class after the new update.. I was automatically removed.. And now I am unable to login again because of some wierd technical problems..,248,Rated 1 stars out of five stars,23-Feb-20
,,,,
Ariana Marchan,Now that the app has been fixed it's working good. My teacher uses it for assignments and I didnt like going through the steps to get into classroom using the chrome but now that the app is working better I like it again thank you for fixing it!!!!!,126,Rated 1 stars out of five stars,03-Mar-20
,,,,
Rajat Kumar Bawa,"After updating to the latest version, I am been removed from my enrolled classes and afterwards when i try to reinstall it, it says not able to sign in...try again...quickly fix this up...",211,Rated 5 stars out of five stars,24-Feb-20
,,,,
Lisa Byars,Latest update yesterday erased many classes I had access to and gave message it was a "private" version or something. Fix it please!!!,206,Rated 1 stars out of five stars,24-Feb-20
,,,,
maddie_ ida,The latest update broke the app! It said is un-unrolled me from my classes (just on the app) and now it won't let me log in. NEEDS to be fixed ASAP!,195,Rated 1 stars out of five stars,24-Feb-20
,,,,
Akshatha,"I am having problems after the latest update, I was removed from all my classes. Uninstall and reinstall also didn't help. Hope this issue is resolved at the earliest.",43,Rated 1 stars out of five stars,24-Feb-20
,,,,
Aidan Fagan,Destroyed my pixel 4. Anytime I booted up the app it would crash my phone and reset,144,Rated 3 stars out of five stars,"April 20, 2020"
,,,,
Talha Nawaz,"please fix that bug. After the latest update, there is a fish icon appearing on the app and whenever I open the ap and login, it says that you cannot sign in. �",253,Rated 1 stars out of five stars,25-Feb-20
,,,,
Raju Vemula,"After the latest update, I am unable to access my classroom. Worst app ever. Instead of fixing the bugs, they have introduced more. Hats off Google.",150,Rated 1 stars out of five stars,22-Feb-20
,,,,
Sam Friedman,"I don't know what is wrong with quality control at Google, but this is some next level BS. Pushed out a confidential APK, and now the app is completely useless. Has weird fish icon in the app icon and I cannot access any of my classes.",155,Rated 1 stars out of five stars,23-Feb-20
,,,,
Fani Hatinda,"Hello Google, after updating this app to it's latest version, the app suddenly removed me from the class in which I enrolled. I couldn't even add my university account, the app wouldn't let me log in. Edit: Thank you for fixing the bug, I can use this app for my class now. :)",41,Rated 1 stars out of five stars,02-Mar-20
,,,,
KandieHC,"Something isn't right with the latest update, I am being removed from classes I am enrolled in, and once reinstalling it I can't login in with any account. This has to be fixed or I'm screwed for this school semester.",51,Rated 5 stars out of five stars,24-Feb-20
,,,,
Meowzer,I have to use this in school. It is a crucial platform for teachers to communicate to students. FIX THE ISSUE WHERE I CAN'T ACCESS THE CLASS AND THEN GET UNENROLLED FROM IT,133,Rated 2 stars out of five stars,24-Feb-20
,,,,
Vivek Vishwakarma,"Major bug on the new update,the app doesnt show any of my classes,after reinstalling it isnt even logging in with my gmail id",128,Rated 1 stars out of five stars,25-Feb-20
,,,,
John M. Pasternak,"The new version doesn't work on Pixel 3. Deleted classrooms. On reinstall, won't login.",224,Rated 1 stars out of five stars,23-Feb-20
,,,,
Abid Nasir,Help needed I downloaded the application a few days ago everything was okay until I was unable to access one of my classes I uninstalled and reinstalled the app again and now I'm unable to sign in from my existing gmail account Please help me,239,Rated 1 stars out of five stars,21-Feb-20
,,,,
Nikayla Als,All of my classes have disappeared in the past 24 hours. I deleted the app and reinstalled but it won't let me login to my account. This is very frustrating as I have assignments to complete,148,Rated 1 stars out of five stars,23-Feb-20
,,,,
Christine Gatchalian,When I tried to open a class today it wouldn't open it just disappeared and I can't get it back. I rely on this app please fix this issue ASAP.,97,Rated 1 stars out of five stars,25-Feb-20
,,,,
afroz lubbai,Today when i opened the app the classes have been exited from the app and cannot be joined again. But the classes is present in the website. I wanted to know the solution to this problem Thank you,43,Rated 1 stars out of five stars,24-Feb-20
,,,,
Nick S,After updating the app I am no longer able to login. Please fix this immediately. As a teacher I need this to communicate with my students.,122,Rated 2 stars out of five stars,24-Feb-20
,,,,
Brad V,"Since the update, it doesnt recognize my school account, and I cannot access any of my classes. Classroom works fine on my PC, but not on mobile. Edit: Changed from 1 to 5 as everything is working again. Thank you.",33,Rated 1 stars out of five stars,27-Feb-20
,,,,
Shreyash Agrawal,After updating to the latest version I am unenrolled from all the classroom. And after reinstalling it I am not able to login to my account,125,Rated 5 stars out of five stars,23-Feb-20
,,,,
Saad Mughal,The app was working fine but after last update 20Feb 2020 it's not working my account is not signing in please fix it ASAP.,109,Rated 1 stars out of five stars,23-Feb-20
,,,,
Ranther YT,I just hate that google classroom doesn't send emails in time sometimes. I can get an assignment and get it in Gmail 5 hours later It sucks,75,Rated 1 stars out of five stars,"April 22, 2020"
,,,,
Adinda Yunariza,"I'm downloading classroom in my new phone (android), unable to log in, it's says classroom couldn'd add the account. 2 star until it fixed. I really need classrom because most of my class are using classroom",31,Rated 1 stars out of five stars,24-Feb-20
,,,,
Lord Farquaad,"After the update, I couldnt get into my classes and after reinstalling I cant even do anything about it. Fix it ASAP.",84,Rated 2 stars out of five stars,25-Feb-20
,,,,
Muhammad Imran,Why it doesn't open in Redmi Android phone? It shows again and again login problem. Doesn't this app Android supportive?,87,Rated 1 stars out of five stars,23-Feb-20
,,,,
Bernie Porter,"After this last update, deleted the app to get rid of the fish in the app icon, re downloaded it and it will not allow me to login into any account. Please fix this, as i need this app for my school work.",88,Rated 1 stars out of five stars,24-Feb-20
,,,,
Shadman Shahriar,"No attendance taking option, No pinned post option, No way to highlight a post. There's a option to pick on students but none for taking attendance. How is that possible?",37,Rated 1 stars out of five stars,17-Feb-20
,,,,
avaraine,"Please please please fix this bug in the new update! after updating i did not have access to the classes im enrolled in however was still getting the notifications for them, when i deleted it and reinstalled i could no longer sign in",72,Rated 3 stars out of five stars,23-Feb-20
,,,,
Fern Gross,"Since i found out about the recent update, i have had really annoying problems. It has unenrolled me in 2 lessons now. Please fix this, i need it for school. UPDATE: Thank you so much for fixing this.",23,Rated 1 stars out of five stars,25-Feb-20
,,,,
DILIP GHOSH,"The videos as well as the teaching methods are great. But there are many problems (i)The videos freezes even in 4g (ii) Most of the times the video gets blurr and a single word could be read (iii) Sometimes it ask questions that they didn't even discuss it before. As a student I want to request the ...
Full Review",31,Rated 4.6 stars out of five stars,"April 28, 2020"
,,,,
Shailesh Kumar Verma,"See I want to say that this app is awesome and the option of quiz competition is very good and the voice of videos is also good but the main problem in this app is that we cant change the video quality . Actually I was very excited to study from this app but because of bad video quality I am not abl...
Full Review",21,Rated 4 stars out of five stars,"April 28, 2020"
,,,,
Geetha Venugopal,"This app is really nice. I understand the concepts. The teachers teach us in an interesting and fun way. They are more focused on making us understand the concepts in a very interesting fun way rather than make us to by heart it which I really like. It makes learning very fun and I really like it. T...
Full Review",509,Rated 3 stars out of five stars,"April 26, 2020"
,,,,
BYJU'S,It was a really helpful experience for me. When I was taught my first lecture it encouraged me to study more and more and find different questions and their answers about different topics. Most importantly this app gives us many exercises to perform and become smarter and smarter.,2,Rated 5 stars out of five stars,"April 29, 2020"
,,,,
Adnan Chaudhary,I dont know how to rate this app... I mean its not working. When its not getting loaded how will i see its performance. Really upset. A complete wastage of time. Just sit and wait for it to get loaded and keep on waiting.... No results. Hope to see something better next time.,,Rated 5 stars out of five stars,"April 28, 2020"
,,,,
Nanda pamnani,"This has always been a very helpful app for me.I have been staying turned to this promising learning app since three years.This is a great platform for clearing our concepts.I am indebted to all the teachers of Byju's for their sincere efforts for making learning interesting and all those who have b...
Full Review",3,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
Ashlekha Bharali,"I liked this app because of easy understanding and good explanation but it has a problem. If I watch a video in this app for 10 minutes ,it takes more than 100mb from me. Even YouTube doesn't take this much from me if I watch videos for 30 minutes. Please fix this extra data taking issue otherwise t...
Full Review",254,Rated 5 stars out of five stars,"April 28, 2020"
,,,,
Arvind Awasthi,"Best app no doubt but pleaseeeee fix this query - please get an option to select the video quality as sometimes the video gets blurry and i get frustated and have to shut the app. BTW app is superb teachers are superb and you are rendering services free of cost much thanks to you . The bestttt app w...
Full Review",41,Rated 3 stars out of five stars,"April 28, 2020"
,,,,
Kanishka Jha,"This app is awesome. It is very useful and helpful for my studies. We can understand the teacher in this app. They teach us in simple and easy English. It makes the learning as a fun game. And there are quizzo challenge . Video quality is great. The only problem is, sometimes the video get blurry an...
Full Review",809,Rated 5 stars out of five stars,"April 26, 2020"
,,,,
BYJU'S,"Content is awesome and well explained but I have kind request to make, that is it does not have option to choose resolution and as it is automated this changes the resolution to 144p which prevents us to see whats being explained or written even if our connection is good and 4g, because of this I ge...
Full Review",19,Rated 5 stars out of five stars,"April 29, 2020"
,,,,
thirukumaran kumaran,"When I've first used this app, I was so excited that I can study from my mother's mobile. I am in 8th class and it helps me very much and I loved this app and the only problem is that I cannot watch the videos properly because of the quality, I get a full data pack of 4G every month but it still sto...
Full Review",47,Rated 3 stars out of five stars,"April 23, 2020"
,,,,
Dream chaser,"The world's best � learning app. Awesome teachers. I hated physics but now I love it. Same with History. Very interactive too. Quizzes after each concept helps me a lot . All in all , it is awesome .Only problem is that there is no level after Zen Master. I would appreciate if there will be one in ...
Full Review",26,Rated 4 stars out of five stars,"April 28, 2020"
,,,,
Musical Harsh,"This app is brilliant. It helps to understand the concepts of various subjects. It help me clear all my doubts. I can also test myself and do practice. This help us to know about what I understood. But I studies in an ICSE school class 9. Some of the topics do not match the topics in my books. Overa...
Full Review",171,Rated 5 stars out of five stars,"April 19, 2020"
,,,,
BYJU'S,"It's the best learning app In the world. But only one problem sometimes in tests questions are not ready but the time moving forward. I think it's an error in connection . Quizzo challenges are an exceptional service of Byju's learning app . It's like a game. Many says, a picture speaks thousands of...
Full Review",42,Rated 4 stars out of five stars,"April 21, 2020"
,,,,
Arun Shah,"It is the best online learning app. It helps to understand the concept through visualization which is a very interesting part. Once you will install byju's in your mobile, you will addicted to it. So ""come fall in love with learning"". At last, I thanks to all the teachers of byju's to help me scorin...
Full Review",48,Rated 4 stars out of five stars,"April 27, 2020"
,,,,
Aryan Chauhan,"When I open the app and play the video but doesn't. I have tried in two or three android mobile but same problem happened. Solved it.... I will suggest two option that are useful for the viewers 1: video quality setting should be added. 2: option for download should be present due to unacdeamy app a...
Full Review",47,Rated 5 stars out of five stars,"April 24, 2020"
,,,,
BYJU'S,"During lockdown I could read to just 8- 9 hours because in my village the net will only work on the third floor. So I couldn't connect live classes off my school but byju's has helped me a lot and now I could read 15 - 16 hours. I love this app and recommend you to download it. But the only problem ...
Full Review",,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
Daliya Manna,"This app makes concept easier and also finds an easy way for you to learn I was already a topper but since I am using this app I have learnt many things , which I never knew before . Through my experience I can say that there is no time when you can say "" I have learnt everything "" , learning never ...
Full Review",655,Rated 4 stars out of five stars,"April 11, 2020"
,,,,
Saksham Singh,"I love this app I've been using it for 3 years now and this app doesn't only helps me score good but also I learn a lot of new things that my teachers don't teach us at school. Visual learning makes it so much easy to learn and understand all the concepts. Even in this lock down I'm not feeling mise...
Full Review",221,Rated 5 stars out of five stars,"April 22, 2020"
,,,,
subash thakur,I had taken the subscription and now when i play a video after every 2 or 3 minutes video is restarting from the start . It is too irritating . Please check your app and dont say anything related to my connectivity because it is very good .,1,Rated 5 stars out of five stars,"April 20, 2020"
,,,,
BYJU'S,"In my opinion the app is lit. Just one problem. The video quality is very high and it drains a lot of net pack. I personally can watch the vid in 240p and understand everything. I don't need high resolution to understand something. If you can, please install a feature where we can change the graphic...
Full Review",580,Rated 1 stars out of five stars,"April 22, 2020"
,,,,
Ajit Kumar,"Now I have uninstalled this app .The only reason why I don't like this app is that I have just one problem that I can't download video and it requires lot of net pack and video quality is becoming blur everytime even when my net pack is full then also and there should be offline videos but it's not ...
Full Review",33,Rated 4 stars out of five stars,"April 28, 2020"
,,,,
Gita Meena,"You really love this it have interactive class with short quiz and you can give test at the last and one thing is awesome is it's still free of cost and you can surely score too much marks in exam classes... I thing it is best app on play store and you will never like this app on any platform so, ju...
Full Review",17,Rated 1 stars out of five stars,"April 18, 2020"
,,,,
Shiny,"The best thing in this it that it does not show even a single ad to distract a person when he is trying to learn something important or interesting from here. It has live classes which make it very useful. It also has practised sets and tests, but they are all the same questions. The only main drawb...
Full Review",287,Rated 5 stars out of five stars,"April 17, 2020"
,,,,
BYJU'S,"The videos in it are very easy to understand. The teachers seem to be more experienced and professional than the teachers in our school. Tha best thing in this app is that : this process first teaches us and than immediately takes our test. This helps us to know that how much we understood. This app...
Full Review",846,Rated 4 stars out of five stars,"April 21, 2020"
,,,,
Rahul Chopra,"This app is amazing �and the only thing that I love is,they are giving free live classes in covid-19,in so much tough time that's really good. I am in class 6 our school has started online session but sometimes network error happen � but I am tension free because I can study by BYJU'S also they gi...
Full Review",9,Rated 5 stars out of five stars,"April 28, 2020"
,,,,
Ratheen Mukherjee,"Video quality is very poor. There is no network issues as well here cause all other devices are running smoothly. I tried to reinstall this app as per your guidance but the issue remains same. I am very dissappointed. There is no option to change quality settings as well. Plz do something about it a...
Full Review",195,Rated 5 stars out of five stars,"April 16, 2020"
,,,,
BYJU'S,Amazing learning experience and great faculties but the only thing is that you can't change the video quality. I am getting 1.5 GB 4G data per day and it's consumed very fast because of high video quality. At evening I'm left with 0 MB. Overall this app is very very well personalized.,10,Rated 1 stars out of five stars,"April 18, 2020"
,,,,
vedika pendor,"This app is helpful for learning difficult subjects. Especially during the time of national Lockdown it helping me alot. But one big problem of this app is it gets very much network data. Even 1.5gb data also not enough to complete one chapter. So, i am getting very much problems to complete chapter...
Full Review",34,Rated 4 stars out of five stars,"April 23, 2020"
,,,,
BYJU'S,"Sir, according to my experience, i too agree with others that blur problem , that too with a 4G data network , also i feel the contexts which have not been discussed, those questions are also asked, after the teacher has taught the lesson then asking questions sounds better. Sir, what i feel the way...
Full Review",2,Rated 3 stars out of five stars,"April 27, 2020"
,,,,
your study my trust,"A good app, free live classes and quality education . One problem is that when i watch a video and when video ends and questions are asked, but some of the questions are asked which are not explained or told in the video.",,Rated 3 stars out of five stars,"April 27, 2020"
,,,,
Kakali DebSen,"The app is very nice. It clear all the concepts.....!!! Without keeping any doubt behind. Also, it tells us that the application of that concepts in our daily life very nicely...!!! For compitative exams those who are giving should use this app. I have just a little doubt in app is that their notes ...
Full Review",12,Rated 3 stars out of five stars,"April 10, 2020"
,,,,
BYJU'S,"This is an amazing app. It understands children minds very well!! The concepts are explained in the best way. I am student using thus app it feels addictive. I genuinely and honestly fell in love with learning through byju's. I have used many online classes similar to byju's but not a single one is ...
Full Review",6,Rated 5 stars out of five stars,"April 16, 2020"
,,,,
Shreyas Magar,"One of the best learning app i have ever seen...it makes us understand all the concepts very easily..but there are two problems which we face.1)we can not adjust the quality of the video(like you tube and others).2)we will be very happy if byjus will teach all subjects as the teaching method is best...
Full Review",17,Rated 5 stars out of five stars,"April 20, 2020"
,,,,
BYJU'S,"I joined this app something like fifteen days ago . And it appears to be a marvellous app . Their unique style of teaching and explaining the subjects make every concept simple and easy . The learning tool designed by BYJU""S is a huge boon to students like us . It is like having a teacher with you 2...
Full Review",38,Rated 5 stars out of five stars,"April 22, 2020"
,,,,
Anika Raviraj,"This app is best for learning science and maths , all the classes are very interactive but there is a problem that the video was blurred many time while watching a video and due to this I won't able to Watch and read through video.",,Rated 5 stars out of five stars,"April 27, 2020"
,,,,
Paridhi Gupta,"Byju's, your content is great, well designed and has been appreciated a lot so far. So, my concern is that why don't you launch an online course for upsc and state PSCs exams like others. Try considering it, it might be a good bet on pendrive or tablet courses.",,Rated 3 stars out of five stars,"April 28, 2020"
,,,,
Ankit Dhiman,"It's a good app. Everything is described perfectly. But the problem is that it contains other competitive exams stuff but not CLAT and AILET. This is the only app I can rely upon for my study. But I heartily request you to please put the sections of law examinations.I hope you will not dishearten me...
Full Review",7,Rated 4 stars out of five stars,"April 27, 2020"
,,,,
Raj Repe,"Very good learning experience. Concepts are well taught with the aid of animations and extra sort of knowledge is provided keeping in view both the class learning as well as competitive exams. Questions are asked just after your topics covered for analysing your understanding of concepts. A very wel...
Full Review",6,Rated 2 stars out of five stars,"April 18, 2020"
,,,,
BYJU'S,It's fantastic app which provides education in this hard time. When we are not able to go school. It helps for students for their further studies when they are not able to go school. It gives further knowledge when we are not able to attend our class.,,Rated 5 stars out of five stars,"April 20, 2020"
,,,,
Sheela Low,"The app is just amazing but a small problem which i felt is quality. As quality of the app is high the net pack is completed fast if we have changing picture qualities then we can watch many videos and aquire and grasp the knowledge. So as soon as possible fix this problem..After this,this app is ju...
Full Review",619,Rated 5 stars out of five stars,"April 27, 2020"
,,,,
Rajjan Gupta,"It is very comfortable learning app. I love learning in this app. They give us a clear explanation from the basics which i haven't seen even in my school teachers. The only problem is high usage of data. Eventhough it is just awesome learing app. If you ask me whether to download this app i will rec...
Full Review",5,Rated 5 stars out of five stars,"April 28, 2020"
,,,,
Vaishali Rakshe,"Could have given it a five star because the in-app experience is amazing and everything is well managed. But the problem is that it crashes several times in my device, which was in issue of inconvenience sometimes. Waiting for a good response.",1,Rated 5 stars out of five stars,"April 23, 2020"
,,,,
Prathibha Girish,"The application is great because of all master teachers. But there are some small problems and if they are scheduled so there is not any best app than byju. These are video quality, graphics etc. Please add some games to make learning most easier. Please give social science in the app. Some stories ...
Full Review",7,Rated 3 stars out of five stars,"April 24, 2020"
,,,,
