,Review,UpVotes,Rating,Label,Length,Positive,Negative,Present,Past,Future,b,f,r,u
99,unable access class new update automatically removed unable login wierd technical problem,248.0,1.0,b,155,1,-2,0.0,1.0,0.0,1,0,0,0
101,app fixed working good teacher assignment didnt like step classroom chrome app working better like fixing,126.0,5.0,b,242,3,-1,0.875,0.125,0.0,1,0,0,0
103,updating latest version removed enrolled class reinstall sign intry againquickly fix,211.0,1.0,b,177,1,-1,0.75,0.25,0.0,1,0,0,0
105,latest update yesterday erased class access gave message private version fix please,206.0,1.0,b,128,3,-2,0.0,1.0,0.0,1,0,0,0
107,latest update broke app ununrolled class app wont log need fixed asap,195.0,1.0,b,141,1,-3,0.4,0.6,0.0,1,0,0,0
109,problem latest update removed class uninstall reinstall didnt help hope issue resolved earliest,43.0,3.0,b,162,3,-2,0.25,0.5,0.25,1,0,0,0
111,destroyed pixel anytime booted app crash phone reset,144.0,1.0,r,81,1,-3,0.0,0.6666666666666666,0.3333333333333333,0,0,1,0
113,please fix bug latest update fish icon appearing app open ap login sign,253.0,1.0,b,155,3,-2,0.6666666666666666,0.0,0.3333333333333333,1,0,0,0
115,latest update unable access classroom worst app fixing bug introduced hat google,150.0,1.0,b,142,1,-3,0.6666666666666666,0.3333333333333333,0.0,1,0,0,0
117,dont wrong quality control google level b pushed confidential apk app completely useless weird fish icon app icon access class,155.0,1.0,b,229,1,-4,0.6666666666666666,0.3333333333333333,0.0,1,0,0,0
119,google updating app latest version app suddenly removed class enrolled couldnt add university account app wouldnt log edit fixing bug app class,41.0,5.0,r,263,2,-2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,1,0
121,isnt latest update removed class enrolled reinstalling login account fixed im screwed school semester,51.0,2.0,b,210,1,-1,0.2,0.8,0.0,1,0,0,0
123,school crucial platform teacher communicate student fix issue access class unenrolled,133.0,1.0,b,169,1,-1,0.5,0.5,0.0,1,0,0,0
125,major bug new updatethe app doesnt show classesafter reinstalling isnt logging gmail id,128.0,1.0,b,123,1,-2,1.0,0.0,0.0,1,0,0,0
127,new version doesnt work pixel deleted classroom reinstall wont login,224.0,1.0,b,80,1,-1,0.0,0.5,0.5,1,0,0,0
129,help needed downloaded application day ago unable access class uninstalled reinstalled app im unable sign existing gmail account please help,239.0,1.0,b,241,3,-1,0.5,0.5,0.0,1,0,0,0
131,class disappeared past hour deleted app reinstalled wont login account frustrating assignment complete,148.0,1.0,b,185,1,-4,0.0,0.75,0.25,1,0,0,0
133,open class today wouldnt open disappeared back rely app please fix issue asap,97.0,1.0,b,139,3,-1,0.0,1.0,0.0,1,0,0,0
135,today opened app class exited app joined class present website wanted solution problem,43.0,2.0,b,194,2,-2,0.0,1.0,0.0,1,0,0,0
137,updating app longer login please fix immediately teacher need communicate student,122.0,1.0,b,136,3,-1,0.6666666666666666,0.0,0.3333333333333333,1,0,0,0
139,update doesnt recognize school account access class classroom work fine pc mobile edit changed working,33.0,5.0,b,204,3,-1,0.8,0.2,0.0,1,0,0,0
141,updating latest version unenrolled classroom reinstalling login account,125.0,1.0,b,138,1,-1,0.6666666666666666,0.3333333333333333,0.0,1,0,0,0
143,app working fine update feb working account signing please fix asap,109.0,1.0,b,115,3,-1,1.0,0.0,0.0,1,0,0,0
145,hate google classroom doesnt send email time sometimes assignment gmail hour suck,75.0,1.0,b,136,1,-3,0.0,0.0,1.0,1,0,0,0
147,im downloading classroom new phone android unable log classroom couldnd add account star fixed need classrom class classroom,31.0,2.0,b,197,1,-1,0.6666666666666666,0.16666666666666666,0.16666666666666666,1,0,0,0
149,update couldnt class reinstalling fix asap,84.0,1.0,b,114,1,-1,1.0,0.0,0.0,1,0,0,0
151,doesnt open redmi android phone show login problem doesnt app android supportive,87.0,1.0,b,115,2,-2,1.0,0.0,0.0,1,0,0,0
153,update deleted app rid fish app icon downloaded allow login account please fix need app school work,88.0,1.0,b,199,3,-2,0.0,0.6666666666666666,0.3333333333333333,1,0,0,0
155,attendance taking option pinned post option highlight post option pick student taking attendance,37.0,3.0,f,164,1,-1,0.5,0.5,0.0,0,1,0,0
157,please please please fix bug new update updating access class im enrolled notification deleted reinstalled could longer sign,72.0,1.0,b,231,4,-2,0.2222222222222222,0.3333333333333333,0.4444444444444444,1,0,0,0
159,found recent update annoying problem unenrolled lesson please fix need school update fixing,23.0,3.0,b,192,3,-4,0.75,0.25,0.0,1,0,0,0
161,video teaching method great problem ithe video freeze ii time video blurr single word could read iii sometimes ask question didnt discus student want request,31.0,4.0,f,290,3,-2,0.8571428571428571,0.0,0.14285714285714285,0,1,0,0
163,want app awesome option quiz competition good voice video good main problem app change video quality excited study app bad video quality abl,21.0,3.0,u,299,4,-2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,1
165,app nice understand concept teacher teach interesting fun focused making understand concept interesting fun make heart like make learning fun like,509.0,5.0,u,295,4,-1,0.7142857142857143,0.14285714285714285,0.14285714285714285,0,0,0,1
167,helpful experience taught lecture encouraged study find question answer topic importantly app exercise perform smarter smarter,2.0,5.0,u,278,3,-1,0.42857142857142855,0.42857142857142855,0.14285714285714285,0,0,0,1
169,dont rate app working loaded performance upset complete wastage time sit wait loaded waiting result hope better time,0.0,1.0,u,263,3,-4,0.7777777777777778,0.1111111111111111,0.1111111111111111,0,0,0,1
171,always helpful app mei staying turned promising learning app yearsthis great platform clearing conceptsi indebted teacher byjus sincere effort making learning interesting,3.0,5.0,u,296,3,-1,0.6666666666666666,0.3333333333333333,0.0,0,0,0,1
173,liked app easy understanding good explanation problem watch video app minute take mb youtube doesnt watch video minute please fix extra data taking issue,254.0,3.0,u,288,3,-2,0.7142857142857143,0.14285714285714285,0.14285714285714285,0,0,0,1
175,best app doubt pleaseeeee fix query please option select video quality sometimes video blurry frustated shut app btw app superb teacher superb rendering service free cost bestttt app,41.0,5.0,b,297,4,-2,0.6666666666666666,0.16666666666666666,0.16666666666666666,1,0,0,0
177,app awesome useful helpful study understand teacher app teach simple easy english make learning fun game quizzo challenge video quality great problem sometimes video blurry,809.0,5.0,u,292,4,-2,1.0,0.0,0.0,0,0,0,1
179,content awesome explained kind request make option choose resolution automated change resolution prevents whats explained written connection good ge,19.0,3.0,u,294,4,-1,0.2857142857142857,0.5714285714285714,0.14285714285714285,0,0,0,1
181,ive app excited study mother mobile class help loved app problem watch video properly quality full data pack month sto,47.0,4.0,b,293,4,-2,0.42857142857142855,0.42857142857142855,0.14285714285714285,1,0,0,0
183,world best learning app awesome teacher hated physic love history interactive quiz concept help lot awesome problem level zen master appreciate,26.0,5.0,u,288,4,-4,0.5,0.16666666666666666,0.3333333333333333,0,0,0,1
185,app brilliant help understand concept subject help clear doubt test practice help understood study icse school class topic match topic book overa,171.0,4.0,u,292,3,-2,0.875,0.0,0.125,0,0,0,1
187,best learning app world problem sometimes test question ready time moving forward error connection quizzo challenge exceptional service byjus learning app like game picture speaks thousand,42.0,4.0,b,290,4,-2,1.0,0.0,0.0,1,0,0,0
189,best online learning app help understand concept visualization interesting part install byjus mobile addicted fall love learning teacher byjus help scorin,48.0,5.0,u,290,3,-2,0.8,0.2,0.0,0,0,0,1
191,open app play video doesnt android mobile problem happened solved suggest option useful viewer video quality setting added option download present due unacdeamy app,47.0,1.0,f,288,2,-2,0.2,0.8,0.0,0,1,0,0
193,lockdown could read hour village net work floor couldnt connect live class school byjus helped lot could read hour love app recommend download problem,0.0,4.0,u,287,3,-2,0.3333333333333333,0.16666666666666666,0.5,0,0,0,1
195,app make concept easier find easy learn already topper app learnt thing knew experience time learnt learning,655.0,5.0,u,295,1,-1,0.8571428571428571,0.14285714285714285,0.0,0,0,0,1
197,love app ive year app doesnt help score good learn lot new thing teacher dont teach school visual learning make easy learn understand concept lock im feeling mise,221.0,5.0,u,293,3,-1,0.9,0.0,0.1,0,0,0,1
199,subscription play video minute video restarting start irritating please check app dont related connectivity good,1.0,1.0,u,235,4,-3,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,1
201,opinion app lit problem video quality high drain lot net pack personally watch vid understand dont need high resolution understand please install feature change graphic,580.0,4.0,f,290,3,-2,0.8,0.2,0.0,0,1,0,0
203,uninstalled app reason dont like app problem download video requires lot net pack video quality blur everytime net pack full offline video,33.0,1.0,f,296,1,-2,1.0,0.0,0.0,0,1,0,0
205,love interactive class short quiz give test thing awesome free cost surely score mark exam class thing best app play store like app platform ju,17.0,5.0,u,295,4,-1,0.5,0.0,0.5,0,0,0,1
207,best thing show single ad distract person learn important interesting live class make useful practised set test question main drawb,287.0,4.0,u,296,3,-2,1.0,0.0,0.0,0,0,0,1
209,video easy understand teacher experienced professional teacher school tha best thing app process teach immediately take test help understood app,846.0,5.0,u,295,2,-1,0.8,0.0,0.2,0,0,0,1
211,app amazing thing love isthey giving free live class covidin tough time good class school started online session sometimes network error happen tension free study byjus gi,9.0,5.0,u,287,4,-3,0.4,0.4,0.2,0,0,0,1
213,video quality poor network issue device running smoothly reinstall app guidance issue remains dissappointed option change quality setting plz,195.0,1.0,f,295,1,-4,0.5,0.25,0.25,0,1,0,0
215,amazing learning experience great faculty thing change video quality gb data day consumed fast high video quality evening im left mb app personalized,10.0,4.0,u,273,3,-1,0.5714285714285714,0.42857142857142855,0.0,0,0,0,1
217,app helpful learning difficult subject especially time national lockdown helping alot big problem app network data gb data enough complete chapter problem complete chapter,34.0,3.0,u,292,2,-2,1.0,0.0,0.0,0,0,0,1
219,sir experience agree blur problem data network feel context discussed question asked teacher taught lesson asking question sound better sir feel,2.0,3.0,f,291,2,-2,0.625,0.25,0.125,0,1,0,0
221,good app free live class quality education problem watch video video end question asked question asked explained told video,0.0,3.0,f,217,3,-2,0.4,0.6,0.0,0,1,0,0
223,app nice clear concept keeping doubt tell application concept daily life nicely compitative exam giving app doubt app note,12.0,5.0,u,282,4,-2,1.0,0.0,0.0,0,0,0,1
225,amazing app understands child mind concept explained best student app feel addictive genuinely honestly fell love learning byjus online class similar byjus single,6.0,5.0,u,292,3,-2,0.5555555555555556,0.3333333333333333,0.1111111111111111,0,0,0,1
227,best learning app seenit make understand concept easilybut problem facewe adjust quality videolike tube otherswe happy byjus teach subject teaching method best,17.0,5.0,u,287,3,-2,0.8333333333333334,0.16666666666666666,0.0,0,0,0,1
229,joined app like fifteen day ago appears marvellous app unique style teaching explaining subject make concept simple easy learning tool designed byjus huge boon student like like teacher,38.0,5.0,u,294,2,-1,0.7142857142857143,0.2857142857142857,0.0,0,0,0,1
231,app best learning science math class interactive problem video blurred time watching video due wont watch read video,0.0,3.0,u,228,2,-2,0.6,0.4,0.0,0,0,0,1
233,byjus content great designed appreciated lot concern dont launch online upsc state pscs exam like considering good bet pendrive tablet course,0.0,4.0,u,252,3,-2,0.4,0.4,0.2,0,0,0,1
235,good app perfectly problem contains competitive exam stuff clat ailet app rely study heartily request please put section law examinationsi hope dishearten,7.0,2.0,u,294,3,-2,0.4,0.4,0.2,0,0,0,1
237,good learning experience concept taught aid animation extra sort knowledge provided keeping view class learning competitive exam question asked topic covered analysing understanding concept wel,6.0,5.0,u,297,4,-1,0.625,0.375,0.0,0,0,0,1
239,fantastic app provides education hard time school help student study school knowledge attend class,0.0,5.0,u,246,3,-1,0.8333333333333334,0.0,0.16666666666666666,0,0,0,1
241,app amazing small problem felt quality quality app high net pack completed fast changing picture quality watch video aquire grasp knowledge fix problemafter thisthis app ju,619.0,5.0,b,295,2,-2,0.6666666666666666,0.3333333333333333,0.0,1,0,0,0
243,comfortable learning app love learning app give clear explanation basic havent school teacher problem high usage data eventhough awesome learing app ask download app rec,5.0,5.0,f,294,3,-2,0.8333333333333334,0.16666666666666666,0.0,0,1,0,0
245,could star inapp experience amazing managed problem crash time device issue inconvenience sometimes waiting good response,1.0,3.0,f,238,3,-2,0.5,0.5,0.0,0,1,0,0
247,application great master teacher small problem scheduled best app byju video quality graphic please add game make learning easier please give social science app story,7.0,2.0,f,294,3,-2,0.5,0.16666666666666666,0.3333333333333333,0,1,0,0
249,helpful student facility tution home learn app syllabus discomfort encouraging student good subjectsit save time learn lot,1090.0,1.0,u,297,3,-2,1.0,0.0,0.0,0,0,0,1
251,fun based learning app explains thing easily perfectly moving forward video session graphic nice good app,0.0,5.0,u,198,4,-1,0.6666666666666666,0.3333333333333333,0.0,0,0,0,1
253,best experience app byjus teacher teach interactive manner snd concept sink illustration everyday example visuals aid learning process progress tracker helpful alongwith live class,4.0,5.0,u,290,3,-1,0.5,0.25,0.25,0,0,0,1
255,app good learn video lecture compatible kind student support language impressed learn step step personalized learning app teacher good helpful like byjus,2.0,5.0,u,283,4,-1,0.6666666666666666,0.3333333333333333,0.0,0,0,0,1
257,applied bnatbyjus national aptitude test login straight minute didnt respond logging minute everytime ut wrong hoping attempt exam check network speed,17.0,1.0,u,288,3,-2,0.4444444444444444,0.5555555555555556,0.0,0,0,0,1
259,good app recommend byjus app animationso interesting thier graphic nicebut animating key attractionthis app whould hit free hoping byjus read change,0.0,5.0,u,254,4,-1,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,1
261,liked nice app student studying recommend give wrong answer wrong give solution answer giving solution nice app,7.0,4.0,u,260,4,-2,0.6,0.0,0.4,0,0,0,1
263,best app studying help exam great tutor app student download cleared concept easily facility quiz play friend student like please download,17.0,5.0,u,286,3,-1,0.6,0.0,0.4,0,0,0,1
265,amazing app giving wonderful knowlegde option great graphic like movie subject viewing ad viewer teacher app trained manner explain topic smooth english,31.0,5.0,u,294,3,-1,1.0,0.0,0.0,0,0,0,1
267,great app always eager learn science better made point installing apps video lesson appreciate personalised topic divided rightly taught great thought thing appealing,4.0,5.0,u,289,3,-1,0.5714285714285714,0.42857142857142855,0.0,0,0,0,1
269,nice app liked school live class byjus live class help memorise quickly byjus best learning app class byjus early learning app brother class loved add,9.0,5.0,u,289,4,-1,0.6666666666666666,0.2222222222222222,0.1111111111111111,0,0,0,1
271,good app learning problem quizo match option reporting today lost match question plant take give answer,19.0,3.0,u,277,3,-2,0.5714285714285714,0.2857142857142857,0.14285714285714285,0,0,0,1
273,nice issue app video app exciting graphic video eventually worse due note shown video hope point issue fix,1.0,5.0,b,266,4,-3,0.625,0.25,0.125,1,0,0,0
275,application helpful sometimes exercise question wrong byjus btw grade question physic ncert examplers wrongpls help fix problem,0.0,4.0,u,226,3,-3,1.0,0.0,0.0,0,0,0,1
277,list problem app video breaking freezing full internet connection chapter new learnt video ask question video havent expect answer,422.0,1.0,b,277,1,-2,0.7142857142857143,0.14285714285714285,0.14285714285714285,1,0,0,0
279,best application expected lot demand money subscription advertisement day app app changing life career student best educato,11.0,5.0,u,293,2,-1,0.5,0.375,0.125,0,0,0,1
281,good app love itsee forget meantheir visualization make complex concept easy concept ready life exam unlike prepare question ready exam lifewhen,19.0,5.0,u,291,4,-1,1.0,0.0,0.0,0,0,0,1
283,dear sirmam app best learning clearing doubt app sometime face problem video quality video suddenly blurry remain time make leave video half sirmam humble request,854.0,4.0,u,289,2,-2,0.8571428571428571,0.14285714285714285,0.0,0,0,0,1
285,beautiful app information textbook rate recommend buy offline teacher teach chapter like movie full graphic assure beautifu,2.0,5.0,u,286,3,-1,0.6,0.0,0.4,0,0,0,1
287,app amazing small problem felt quality quality app high net pack completed fast changing picture quality watch video aquire grasp knowledge fix problemafter thisthis app jus,11.0,5.0,u,296,2,-2,0.6666666666666666,0.3333333333333333,0.0,0,0,0,1
289,loved app teacher taught nicely lesson prepares test learning chapter app helpful time lockdown interesting subject loved teacher taught lesson,6.0,5.0,u,289,4,-1,0.2,0.8,0.0,0,0,0,1
291,app good fabulous learning best teacher india learn teaching good app good student medium state byjus play subject learn,3.0,5.0,u,295,3,-1,0.8333333333333334,0.0,0.16666666666666666,0,0,0,1
293,video smooth time video frezzes good internet connectivity feel irritated time sound quality good,0.0,2.0,u,164,3,-3,0.0,1.0,0.0,0,0,0,1
295,dropped rating star update video quality consume data single video video consume data option play video choice quality hd app best,46.0,2.0,b,288,2,-1,0.0,0.5,0.5,1,0,0,0
297,like give full star consumes data option controlling quality video connection video buffer low data speedand high speed consumes data playing video high qualityplease,8.0,3.0,b,285,2,-2,0.7142857142857143,0.0,0.2857142857142857,1,0,0,0
299,playing quizzo app gave correct answer opponent point game ended loose opponent shocked happened time give focus app yo,14.0,1.0,b,295,2,-3,0.2857142857142857,0.7142857142857143,0.0,1,0,0,0
301,app good way problem open videoa black screen appears voice fix provlem black screen day install vedantu app learning class started,1.0,1.0,b,262,3,-2,0.75,0.25,0.0,1,0,0,0
303,app great addictive im review app ad youtube distracting lost patience write guy learning new thing watching video youtube pop ad im begging stop ad react,3.0,5.0,b,294,3,-2,0.8333333333333334,0.16666666666666666,0.0,1,0,0,0
305,learning app outstanding star view biggest problem video high resolution absolutely suck drain gb hour greedy lockdown,13.0,3.0,u,292,3,-3,0.7142857142857143,0.14285714285714285,0.14285714285714285,0,0,0,1
307,student app learn great experience education amazing app easy student vocublary improved download app mind sharped teacher teach interesting app tell,3.0,5.0,u,294,3,-1,0.6,0.4,0.0,0,0,0,1
309,learning app good fabulous animation lesson test make child fall love learningwe play quiz student world want improved nowadays people preferring online class app like google meet ci,20.0,4.0,u,293,4,-1,0.7142857142857143,0.14285714285714285,0.14285714285714285,0,0,0,1
311,friend good app childrens education work increasing childrens iq brain development work like game like app teacher explains particular topic question user,4.0,5.0,u,280,4,-1,1.0,0.0,0.0,0,0,0,1
313,content good explained technical problem app video freeze regularly good network connectivity technical aspect app could better,0.0,4.0,u,186,3,-2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,1
315,helpful app gave star limit learn particular amount long break atleast day nice lockdown situation unlocked thing learn unlimited forever,8.0,4.0,u,281,3,-1,0.3333333333333333,0.6666666666666666,0.0,0,0,0,1
317,good app topic explained good manner helpful clear concept topic topic test help exagerated topic clear app helpful clearing doubt concept,14.0,5.0,u,296,4,-2,0.5,0.25,0.25,0,0,0,1
319,good learning app eleventh grade student helped understand chapter downloaded app hesitation downloaded learning apps best learning glad app wan na,2.0,3.0,u,296,4,-1,0.42857142857142855,0.42857142857142855,0.14285714285714285,0,0,0,1
321,good collection video fast download share video,36.0,4.0,u,53,4,-1,0.0,0.0,0.0,0,0,0,1
323,good entertainment time encourage hidden talent people best,14.0,5.0,u,96,4,-1,0.0,0.0,1.0,0,0,0,1
325,app watching uploading downloading platform,927.0,5.0,u,87,1,-1,1.0,0.0,0.0,0,0,0,1
327,good app people download app better tiktok love thisapp,2282.0,5.0,u,105,4,-1,1.0,0.0,0.0,0,0,0,1
329,problem good kind status app,961.0,5.0,u,102,4,-2,0.0,0.0,0.0,0,0,0,1
331,amazing app loved app lot collection song,664.0,5.0,u,81,3,-1,0.0,1.0,0.0,0,0,0,1
333,app apps app video uploaded best app,760.0,5.0,u,95,3,-1,0.0,1.0,0.0,0,0,0,1
335,amazing aap like app downolding status easily fast,775.0,5.0,u,69,3,-1,1.0,0.0,0.0,0,0,0,1
337,song good collection liked,222.0,5.0,u,50,3,-1,0.0,1.0,0.0,0,0,0,1
339,good apps esy gave good intertenment,2.0,5.0,u,52,4,-1,0.0,1.0,0.0,0,0,0,1
341,nice appvery easy usei like appbut want save vedio albumits saved,224.0,5.0,u,96,4,-1,0.5,0.5,0.0,0,0,0,1
343,promotional ad bad taste please improve quality ad feel like promoting kind dirty porno app,1827.0,1.0,u,132,3,-2,0.5,0.0,0.5,0,0,0,1
345,good best capturing moment laughing make young carry best clipping wish love,1943.0,4.0,b,108,3,-1,1.0,0.0,0.0,1,0,0,0
347,time im type apps nice app app helpful create video,2.0,5.0,u,92,3,-1,1.0,0.0,0.0,0,0,0,1
349,liked muchbut need improvement,1005.0,4.0,u,46,3,-1,0.5,0.5,0.0,0,0,0,1
351,nice app im feom month like tiktok listenwatch everytype lyric india,112.0,4.0,u,122,4,-1,1.0,0.0,0.0,0,0,0,1
353,bad app movie load watching youtube chanel stupid app,153.0,1.0,u,73,1,-3,1.0,0.0,0.0,0,0,0,1
355,nice app nice video love video comedy video shaery,168.0,5.0,u,92,4,-1,1.0,0.0,0.0,0,0,0,1
357,nice app give esay edit video photo,116.0,4.0,u,52,4,-1,1.0,0.0,0.0,0,0,0,1
359,nice useful entertainment app always liked star nice performance,3143.0,5.0,u,102,4,-1,0.0,1.0,0.0,0,0,0,1
361,good app plz install fun install sign shoot video post youll result hour love app,68.0,5.0,u,170,4,-2,1.0,0.0,0.0,0,0,0,1
